Metric,Base_Validation,SOTA_Challenge
Accuracy,0.9701298701298702,0.8663594470046083
Precision,0.9630541871921182,0.8793103448275862
Recall,0.9991482112436116,0.8717948717948718
F1-Score,0.9807692307692307,0.8755364806866953
